Subject Name,Scientific Name,Num. of Counties,Habit
oriental mangrove,Bruguiera sexangula (Lour.) Poir.,1,Hardwood Trees
white bryony,Bryonia alba L.,46,Vines
butterflybush,Buddleja davidii Franch.,202,Shrub or Subshrub
Lindley's butterflybush,Buddleja lindleyana Fortune ex Lindl.,23,Shrub or Subshrub
smokebush,Buddleja madagascariensis Lam.,7,Shrub or Subshrub
corn gromwell,Buglossoides arvensis (L.) I.M. Johnston,1041,Forbs/Herbs
flowering rush,Butomus umbellatus L.,319,Aquatic Plants
"Carolina fanwort, fanwort",Cabomba caroliniana A. Gray,239,Aquatic Plants
paradise poinciana,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,82,Shrub or Subshrub
pigeon pea,Cajanus cajan (L.) Millsp.,63,Shrub or Subshrub
European sea-rocket,Cakile maritima Scop.,52,Forbs/Herbs
purple beautyberry,Callicarpa dichotoma (Lour.) K. Koch,27,Shrub or Subshrub
Japanese callicarpa,Callicarpa japonica Thunb.,1,Shrub or Subshrub
basketplant,Callisia fragrans (Lindl.) Woods,13,Forbs/Herbs
bottlebrush,Callistemon viminalis (Gaertn.)G.Don ex Loudon,19,Aquatic Plants
European waterstarwort,Callitriche stagnalis Scop.,108,Aquatic Plants
heather,Calluna vulgaris (L.) Hull,45,Forbs/Herbs
incense-cedar,Calocedrus decurrens (Torr.) Florin,62,Conifer Trees
Antilles calophyllum,Calophyllum antillanum Britt,9,Hardwood Trees
Alexandrian laurel,Calophyllum inophyllum L.,6,Hardwood Trees
smallseed falseflax,Camelina microcarpa DC.,952,Forbs/Herbs
creeping bellflower,Campanula rapunculoides L.,724,Forbs/Herbs
trumpet creeper,Campsis radicans (L.) Seem. ex Bureau,26,Vines
maunaloa,Canavalia cathartica Thouars,4,Vines
Indian shot,Canna indica L.,35,Forbs/Herbs
hemp/marijuana (sativa),Cannabis sativa L,719,Forbs/Herbs
shepherd's-purse,Capsella bursa-pastoris (L.) Medik.,2200,Forbs/Herbs
Siberian peashrub,Caragana arborescens Lam.,255,Shrub or Subshrub
woodland bittercress,Cardamine flexuosa With.,75,Forbs/Herbs
narrowleaf bittercress,Cardamine impatiens L.,245,Forbs/Herbs
balloonvine,Cardiospermum halicacabum L.,292,Vines
"spiny plumeless thistle, plumeless thistle",Carduus acanthoides L.,466,Forbs/Herbs
curly plumeless thistle,Carduus crispus L.,34,Forbs/Herbs
plumeless thistle,Carduus L.,783,Forbs/Herbs
"musk thistle, nodding thistle",Carduus nutans L.,1400,Forbs/Herbs
nodding plumeless thistle,Carduus nutans macrolepis (Peterm.) Kazmi,0,Forbs/Herbs
Italian plumeless thistle,Carduus pycnocephalus L.,76,Forbs/Herbs
slenderflower thistle,Carduus tenuiflorus W. Curtis,58,Forbs/Herbs
thinfruit sedge,Carex flaccosperma Dewey,2,Grass or Grasslike
Japanese sedge,Carex kobomugi Ohwi,19,Grass or Grasslike
Long's sedge,Carex longii Mackenzie,362,Grass or Grasslike
hanging sedge,Carex pendula Huds.,9,Grass or Grasslike
papaya,Carica papaya L.,29,Hardwood Trees
natal-plum,Carissa macrocarpa (Ecklon) A. DC.,11,Shrub or Subshrub
carline thistle,Carlina vulgaris L.,4,Forbs/Herbs
sea fig,Carpobrotus chilensis (Molina) N.E. Br.,21,Forbs/Herbs
hottentot fig,Carpobrotus edulis (L.) N.E. Br,27,Shrub or Subshrub
Wards weed,Carrichtera annua (L.) DC.,1,Forbs/Herbs
woolly distaff thistle,Carthamus lanatus L.,44,Forbs/Herbs
Panama rubbertree,Castilla elastica Sessé,0,Hardwood Trees
field Indian paintbrush,Castilleja arvensis Cham. & Schlecht,5,Forbs/Herbs
river sheoak,Casuarina cunninghamiana Miq.,44,Hardwood Trees
Australian-pine,Casuarina equisetifolia L.,98,Hardwood Trees
gray sheoak,Casuarina glauca Sieb. ex Spreng,29,Hardwood Trees
southern catalpa,Catalpa bignonioides Walt.,609,Hardwood Trees
Chinese catalpa,Catalpa ovata G. Don,47,Hardwood Trees
northern catalpa,Catalpa speciosa (Warder) Warder ex Engelm.,755,Hardwood Trees
Madagascar periwinkle,Catharanthus roseus (L.) G. Don,61,Shrub or Subshrub
Mediterranean clone of caulerpa,Caulerpa taxifolia (Vahl) C. Agardth,0,Aquatic Plants
bushkiller,Cayratia japonica (Thunb.) Gagnepain,26,Vines
trumpet-tree,Cecropia obtusifolia Bertol.,6,Hardwood Trees
trumpet tree,Cecropia palmata Willd.,2,Hardwood Trees
Deodar cedar,Cedrus deodara (Roxb. ex D. Don) G. Don f.,10,Conifer Trees
round leaf bittersweet,Celastrus orbiculatus Thunb.,785,Vines
Chinese fountaingrass,Cenchrus alopecuroides (L.) Thunb.,43,Grass or Grasslike
pearl millet,Cenchrus americanus L.,9,Grass or Grasslike
buffelgrass,Cenchrus ciliaris L.,143,Grass or Grasslike
kikuyugrass,Cenchrus clandestinus L.,55,Grass or Grasslike
southern sandbur,Cenchrus echinatus L.,219,Grass or Grasslike
longspine sandbur,Cenchrus longispinus (Hack.) Fern,1167,Grass or Grasslike
mission grass,Cenchrus polystachios (L.) Morrone,11,Grass or Grasslike
Chinese fountaingrass,Cenchrus purpurascens Thunb.,5,Grass or Grasslike
elephant grass,Cenchrus purpureus (Schumach.) Morrone,141,Grass or Grasslike
crimson fountaingrass,Cenchrus setaceus (Forssk.) Morrone,86,Grass or Grasslike
purple starthistle,Centaurea calcitrapa L.,92,Forbs/Herbs
cornflower,Centaurea cyanus L.,692,Forbs/Herbs
diffuse knapweed,Centaurea diffusa Lam.,381,Forbs/Herbs
North African knapweed,Centaurea diluta Ait.,4,Forbs/Herbs
Iberian starthistle,Centaurea iberica Trev. ex Spreng,16,Forbs/Herbs
brown knapweed,Centaurea jacea L.,288,Forbs/Herbs
knapweeds,Centaurea L.,82,Forbs/Herbs
bighead knapweed,Centaurea macrocephala Puschk. ex Willd.,47,Forbs/Herbs
Malta starthistle,Centaurea melitensis L.,190,Forbs/Herbs
black knapweed,Centaurea nigra L.,232,Forbs/Herbs
"alpine knapweed, Tyrol knapweed",Centaurea nigrescens Willd,244,Forbs/Herbs
yellow starthistle,Centaurea solstitialis L.,365,Forbs/Herbs
spotted knapweed,Centaurea stoebe L.,312,Forbs/Herbs
spotted knapweed,Centaurea stoebe ssp. micranthos (Gugler) Hayek,1321,Forbs/Herbs
Meadow Knapweed,Centaurea thuillieri (Dostál) J.Duvign. & Lambinon,0,
squarrose knapweed,Centaurea virgata Lam.,62,Forbs/Herbs
squarrose knapweed,Centaurea virgata ssp. squarrosa (Willd.) Gugler,2,Forbs/Herbs
European centaury,Centaurium erythraea Rafn,97,Forbs/Herbs
Asiatic pennywort,Centella asiatica (L.) Urban,37,Forbs/Herbs
red valerian,Centranthus ruber (L.) DC.,52,Forbs/Herbs
common tarweed,Centromadia pungens ssp. pungens (Hook. & Arn.) Greene,54,Forbs/Herbs
common mouse-ear chickweed,Cerastium fontanum Baumg.,1544,Forbs/Herbs
big chickweed,Cerastium fontanum ssp. vulgare (Hartman) Greuter & Burdet,1443,Forbs/Herbs
sticky chickweed,Cerastium glomeratum Thuill.,1002,Forbs/Herbs
boreal chickweed,Cerastium tomentosum L.,64,Forbs/Herbs
bur buttercup,Ceratocephala testiculata (Crantz) Bess.,233,Forbs/Herbs
day jessamine,Cestrum diurnum L.,18,Hardwood Trees
night jessamine,Cestrum nocturnum L.,28,Hardwood Trees
Chilean jessamine,Cestrum parqui L'Hér.,1,Hardwood Trees
sensitive partridgepea,Chamaecrista nictitans (L.) Moench,1044,Forbs/Herbs
Port Orford cedar,Chamaecyparis lawsoniana (A. Murr.) Parl.,28,Conifer Trees
tagasaste,Chamaecytisus palmensis (Christ) F.A. Bisby & K.W. Nicholls [excluded],0,
Seifriz's chamaedorea,Chamaedorea seifrizii Burret,5,Hardwood Trees
garden spurge,Chamaesyce hirta (L.) Millsp.,117,Forbs/Herbs
African cornflag,Chasmanthe floribunda (Salisb.) N.E. Br.,12,Forbs/Herbs
Malay ginger,Cheilocostus speciosus (J.Koenig) C.D.Specht,4,Forbs/Herbs
greater celandine,Chelidonium majus L.,490,Forbs/Herbs
celandine,Chelidonium majus var. majus L.,0,Forbs/Herbs
giantseed goosefoot,Chenopodiastrum simplex (Torr.) S. Fuentes et al.,913,Forbs/Herbs
lambsquarters,Chenopodium album L,2068,Forbs/Herbs
lambsquarters,Chenopodium album var. album L.,13,Forbs/Herbs
nettleleaf goosefoot,Chenopodium murale L.,374,Forbs/Herbs
swollen fingergrass,Chloris barbata Sw.,14,Grass or Grasslike
rush skeletonweed,Chondrilla juncea L.,251,Forbs/Herbs
blue mustard,Chorispora tenella (Pallas) DC.,434,Forbs/Herbs
soft fern,Christella dentata (Forssk.) Brownsey & Jermy,94,Forbs/Herbs
boneseed,Chrysanthemoides monilifera ssp. monilifera (L.) Norlindh,2,Shrub or Subshrub
satinleaf,Chrysophyllum oliviforme L.,17,Hardwood Trees
wall lettuce,Cicerbita muralis,95,Forbs/Herbs
chicory,Cichorium intybus L.,1548,Forbs/Herbs
western waterhemlock,Cicuta douglasii (DC.) Coult. & Rose,12,Forbs/Herbs
quinine,Cinchona pubescens Vahl,2,Hardwood Trees
